Date,Num1,Num2,Num3,Num4,Num5,MegaBall
2024-05-10,32,26,13,22,65,18
2024-05-07,63,28,36,66,26,15
2024-05-03,13,53,15,56,6,11
2024-04-30,27,18,61,37,10,5
2024-04-26,15,53,57,23,61,9
2024-04-23,43,39,11,17,33,14
2024-04-19,46,34,30,19,58,3
2024-04-16,59,36,44,21,26,2
2024-04-12,18,14,12,1,66,16
2024-04-09,43,69,52,51,34,25
2024-04-05,30,54,63,65,20,14
2024-04-02,60,50,10,66,56,19
2024-03-29,30,60,11,33,38,16
2024-03-26,11,22,7,29,38,4
2024-03-22,3,8,44,31,35,16
2024-03-19,62,66,49,46,24,7
2024-03-15,50,13,66,51,25,6
2024-03-12,57,31,16,64,2,24
2024-03-08,19,22,20,58,47,1
2024-03-05,49,2,50,70,61,14
2024-03-01,61,33,15,37,55,24
2024-02-27,49,6,27,18,26,4
2024-02-23,4,60,41,6,40,11
2024-02-20,5,58,55,68,45,7
2024-02-16,23,39,42,19,67,18
2024-02-13,19,25,1,3,58,20
2024-02-09,17,69,46,29,22,1
2024-02-06,31,2,57,44,10,10
2024-02-02,42,22,64,69,11,18
2024-01-30,59,16,5,3,58,11
2024-01-26,50,34,31,14,61,13
2024-01-23,21,28,70,69,58,20
2024-01-19,1,9,16,17,30,17
2024-01-16,54,42,2,49,10,13
2024-01-12,67,35,19,45,34,7
2024-01-09,12,53,32,15,33,24
2024-01-05,38,44,5,26,23,25
2024-01-02,3,64,18,27,29,1
2023-12-29,11,70,30,62,27,10
2023-12-26,10,22,64,8,58,21
2023-12-22,26,54,36,69,10,4
2023-12-19,58,61,50,17,26,11
2023-12-15,40,28,10,54,20,12
2023-12-12,53,45,8,44,23,3
2023-12-08,21,70,53,66,26,13
2023-12-05,35,40,18,67,64,18
2023-12-01,47,52,12,49,65,12
2023-11-28,61,27,42,59,37,11
2023-11-24,59,68,15,6,45,1
2023-11-21,38,30,17,22,25,24
2023-11-17,33,12,69,31,6,17
2023-11-14,35,59,61,29,69,22
2023-11-10,68,33,59,70,13,8
2023-11-07,33,42,52,3,11,20
2023-11-03,65,47,38,15,32,12
2023-10-31,37,35,55,70,14,15
2023-10-27,57,70,43,11,32,6
2023-10-24,54,59,20,16,30,7
2023-10-20,49,7,29,36,61,22
2023-10-17,6,29,32,5,61,20
2023-10-13,18,68,46,44,6,18
2023-10-10,46,63,8,17,3,7
2023-10-06,57,12,24,46,66,22
2023-10-03,3,19,39,32,59,24
2023-09-29,40,64,47,18,55,11
2023-09-26,15,35,60,42,30,16
2023-09-22,66,14,13,57,10,3
2023-09-19,66,29,13,6,9,24
2023-09-15,5,13,50,53,29,25
2023-09-12,42,21,67,2,14,18
2023-09-08,12,17,62,3,51,1
2023-09-05,65,43,3,51,50,13
2023-09-01,42,43,55,31,10,8
2023-08-29,39,9,52,63,61,25
2023-08-25,12,31,38,23,26,2
2023-08-22,50,12,36,26,1,7
2023-08-18,10,20,29,44,66,11
2023-08-15,57,39,42,63,18,7
2023-08-11,8,18,9,41,35,18
2023-08-08,32,19,13,33,20,14
2023-08-04,45,30,52,56,11,20
2023-08-01,8,24,61,45,30,12
2023-07-28,52,28,5,63,10,18
2023-07-25,44,6,61,3,5,25
2023-07-21,57,47,50,29,40,25
2023-07-18,37,31,22,54,19,18
2023-07-14,10,51,24,66,48,15
2023-07-11,51,33,10,64,17,5
2023-07-07,55,66,8,10,17,3
2023-07-04,54,33,67,21,61,12
2023-06-30,51,47,22,13,55,9
2023-06-27,52,34,41,8,35,12
2023-06-23,13,65,62,69,67,14
2023-06-20,46,37,39,6,45,21
2023-06-16,45,34,4,57,24,19
2023-06-13,44,47,19,10,8,4
2023-06-09,68,19,53,3,60,13
2023-06-06,29,57,23,6,12,4
2023-06-02,36,60,16,3,19,25
2023-05-30,64,16,13,68,40,21
2023-05-26,12,64,41,20,37,1
2023-05-23,10,66,22,3,65,19
2023-05-19,55,41,11,5,44,14
2023-05-16,36,70,69,34,15,17
2023-05-12,2,23,40,45,1,15
2023-05-09,46,48,4,37,51,19
2023-05-05,42,16,18,28,43,11
2023-05-02,32,3,16,41,15,9
2023-04-28,38,53,18,62,64,20
2023-04-25,47,48,46,29,8,12
2023-04-21,3,29,46,63,21,9
2023-04-18,19,25,15,7,9,4
2023-04-14,27,48,23,51,41,22
2023-04-11,53,54,31,55,35,24
2023-04-07,51,66,49,12,32,21
2023-04-04,1,45,62,37,64,4
2023-03-31,26,16,27,42,61,23
2023-03-28,18,3,68,2,32,24
2023-03-24,17,14,42,33,66,15
2023-03-21,21,40,25,1,27,11
2023-03-17,39,26,49,29,28,25
2023-03-14,55,1,38,23,7,2
2023-03-10,60,9,20,59,63,5
2023-03-07,15,69,28,25,22,21
2023-03-03,39,8,67,36,25,11
2023-02-28,59,52,40,14,16,13
2023-02-24,22,49,2,65,67,7
2023-02-21,36,63,30,15,2,24
2023-02-17,57,38,33,70,2,13
2023-02-14,24,35,23,40,43,1
2023-02-10,20,29,58,30,52,19
2023-02-07,9,15,57,55,46,4
2023-02-03,50,1,4,54,59,17
2023-01-31,9,18,39,29,7,13
2023-01-27,46,4,47,43,61,22
2023-01-24,62,33,50,41,47,20
2023-01-20,66,29,31,64,20,17
2023-01-17,39,2,24,12,18,18
2023-01-13,61,30,45,46,43,14
2023-01-10,15,13,7,18,14,9
2023-01-06,20,63,46,59,3,13
2023-01-03,41,33,25,44,29,18
2022-12-30,3,1,6,44,51,7
2022-12-27,59,61,9,36,13,11
2022-12-23,38,21,62,32,15,8
2022-12-20,3,33,36,52,4,17
2022-12-16,40,56,35,8,53,11
2022-12-13,48,58,14,68,22,6
2022-12-09,61,19,8,53,69,19
2022-12-06,28,19,16,15,47,13
2022-12-02,52,46,21,1,36,16
2022-11-29,52,46,20,37,23,6
2022-11-25,31,46,54,29,67,18
2022-11-22,23,43,13,24,25,2
2022-11-18,2,38,14,16,66,9
2022-11-15,6,28,46,19,61,18
2022-11-11,17,5,70,37,1,22
2022-11-08,13,29,5,38,59,23
2022-11-04,20,55,59,2,47,19
2022-11-01,9,17,15,5,16,25
2022-10-28,18,53,31,4,69,7
2022-10-25,66,21,45,30,35,21
2022-10-21,43,36,45,68,34,22
2022-10-18,15,20,44,67,1,23
2022-10-14,41,22,26,9,44,19
2022-10-11,3,11,13,38,7,1
2022-10-07,29,55,11,36,6,21
2022-10-04,18,33,15,25,38,25
2022-09-30,51,40,16,26,37,6
2022-09-27,51,8,43,24,14,9
2022-09-23,5,53,58,50,64,22
2022-09-20,30,9,52,28,21,10
2022-09-16,35,66,30,15,38,12
2022-09-13,64,59,25,38,14,21
2022-09-09,69,21,54,16,55,22
2022-09-06,6,68,17,59,46,2
2022-09-02,40,60,52,67,39,20
2022-08-30,38,65,2,55,57,17
2022-08-26,6,30,27,64,38,23
2022-08-23,48,47,67,3,5,7
2022-08-19,12,65,18,24,46,3
2022-08-16,35,33,45,51,41,1
2022-08-12,54,64,24,50,23,3
2022-08-09,10,8,25,1,32,13
2022-08-05,5,69,2,64,29,18
2022-08-02,37,10,14,25,63,14
2022-07-29,67,45,57,36,13,14
2022-07-26,29,63,66,7,60,15
2022-07-22,60,66,14,40,64,16
2022-07-19,37,32,31,2,70,25
2022-07-15,20,8,26,64,53,15
2022-07-12,45,7,4,10,64,12
2022-07-08,20,62,69,61,36,20
2022-07-05,50,61,51,31,27,21
2022-07-01,62,29,27,38,1,12
2022-06-28,21,55,7,43,12,11
2022-06-24,1,25,7,56,11,14
2022-06-21,13,42,18,8,32,20
2022-06-17,36,69,56,53,20,16
2022-06-14,37,42,30,58,38,22
2022-06-10,3,32,18,14,12,4
2022-06-07,41,34,4,53,40,3
2022-06-03,16,11,22,48,59,11
2022-05-31,15,63,64,6,41,24
2022-05-27,53,40,3,54,14,8
2022-05-24,3,5,63,6,68,25
2022-05-20,40,33,60,69,59,22
2022-05-17,41,24,21,7,65,24
2022-05-13,11,44,65,43,41,13
2022-05-10,15,19,70,61,20,9
2022-05-06,16,52,21,33,70,10
2022-05-03,57,27,35,19,15,17
2022-04-29,49,34,66,9,11,15
2022-04-26,19,5,69,46,7,2
2022-04-22,28,29,7,59,58,10
2022-04-19,47,53,9,2,33,24
2022-04-15,46,17,64,20,4,23
2022-04-12,8,2,20,31,14,17
2022-04-08,40,32,29,8,11,2
2022-04-05,43,64,60,22,63,18
2022-04-01,63,26,47,48,42,21
2022-03-29,7,22,45,47,36,12
2022-03-25,58,51,3,42,13,17
2022-03-22,61,8,27,21,15,8
2022-03-18,45,40,2,25,6,5
2022-03-15,14,9,59,28,60,24
2022-03-11,66,44,39,24,28,25
2022-03-08,18,7,64,38,58,24
2022-03-04,47,28,46,11,19,5
2022-03-01,50,38,39,22,18,18
2022-02-25,66,31,56,15,40,4
2022-02-22,57,62,6,17,22,3
2022-02-18,63,68,11,50,6,17
2022-02-15,63,15,2,21,4,19
2022-02-11,30,24,11,23,16,24
2022-02-08,17,52,20,54,1,2
2022-02-04,61,7,34,16,44,24
2022-02-01,62,24,66,11,38,1
2022-01-28,25,44,55,16,3,13
2022-01-25,12,58,53,3,38,13
2022-01-21,67,38,46,45,55,18
2022-01-18,4,52,42,39,19,9
2022-01-14,48,8,13,5,22,25
2022-01-11,3,2,52,58,19,16
2022-01-07,7,56,29,43,57,6
2022-01-04,22,21,4,16,6,1
2021-12-31,5,30,61,46,2,8
2021-12-28,31,8,3,5,38,4
2021-12-24,17,37,36,25,16,16
2021-12-21,25,64,58,31,67,24
2021-12-17,48,38,62,21,32,10
2021-12-14,55,35,69,44,33,20
2021-12-10,23,40,25,60,42,8
2021-12-07,68,1,40,43,7,1
2021-12-03,22,45,58,61,48,13
2021-11-30,39,26,8,7,30,17
2021-11-26,27,37,59,42,7,2
2021-11-23,58,7,24,57,54,6
2021-11-19,23,52,53,5,59,18
2021-11-16,53,65,44,22,6,3
2021-11-12,46,30,48,32,42,15
2021-11-09,14,26,49,9,16,14
2021-11-05,68,20,10,15,66,18
2021-11-02,10,65,26,5,58,9
2021-10-29,35,15,26,28,45,4
2021-10-26,14,56,6,19,62,9
2021-10-22,66,14,9,29,26,22
2021-10-19,52,13,3,19,12,1
2021-10-15,20,34,3,31,65,18
2021-10-12,56,26,65,21,61,4
2021-10-08,70,36,24,21,40,22
2021-10-05,36,18,7,30,11,4
2021-10-01,36,25,21,62,63,6
2021-09-28,30,18,43,69,68,22
2021-09-24,17,43,56,27,21,15
2021-09-21,36,51,45,56,41,13
2021-09-17,40,61,59,17,32,18
2021-09-14,13,4,63,64,19,16
2021-09-10,47,20,64,32,35,18
2021-09-07,53,15,25,32,17,12
2021-09-03,7,10,65,61,12,3
2021-08-31,31,14,58,8,68,15
2021-08-27,1,10,47,44,56,23
2021-08-24,67,26,17,52,18,19
2021-08-20,57,70,51,41,43,1
2021-08-17,56,6,16,38,3,24
2021-08-13,17,53,40,21,35,11
2021-08-10,50,45,59,62,29,12
2021-08-06,18,46,40,69,9,9
2021-08-03,9,34,17,1,27,24
2021-07-30,26,52,19,68,31,10
2021-07-27,35,36,64,54,2,11
2021-07-23,17,19,40,69,13,17
2021-07-20,52,57,10,30,26,10
2021-07-16,57,52,47,24,25,24
2021-07-13,55,17,3,10,26,24
2021-07-09,46,41,39,6,37,17
2021-07-06,68,63,47,18,69,14
2021-07-02,31,45,34,32,8,19
2021-06-29,7,38,69,52,50,21
2021-06-25,20,65,17,42,45,12
2021-06-22,59,51,26,1,48,25
2021-06-18,44,46,53,14,36,18
2021-06-15,22,52,27,18,38,11
2021-06-11,4,68,63,56,43,13
2021-06-08,54,41,9,39,22,19
2021-06-04,34,4,64,30,41,8
2021-06-01,63,7,33,58,11,23
2021-05-28,47,14,10,70,20,15
2021-05-25,31,54,34,21,14,11
2021-05-21,18,6,17,9,48,8
2021-05-18,3,66,61,56,5,4
2021-05-14,41,18,3,68,44,3
2021-05-11,20,8,7,39,36,22
2021-05-07,5,21,10,19,50,10
2021-05-04,4,63,32,57,27,22
2021-04-30,48,49,26,8,19,5
2021-04-27,41,42,15,30,22,25
2021-04-23,29,4,28,30,60,25
2021-04-20,43,52,49,23,6,5
2021-04-16,55,27,50,28,17,25
2021-04-13,15,10,68,19,45,9
2021-04-09,58,27,66,26,22,12
2021-04-06,19,20,32,42,1,17
2021-04-02,42,53,48,10,62,19
2021-03-30,11,53,47,56,37,15
2021-03-26,67,46,4,37,25,15
2021-03-23,55,23,35,12,38,11
2021-03-19,40,69,58,14,9,8
2021-03-16,69,46,52,41,10,8
2021-03-12,31,2,65,24,25,18
2021-03-09,33,65,58,4,46,13
2021-03-05,54,10,11,27,17,20
2021-03-02,8,34,4,64,13,18
2021-02-26,37,11,15,64,62,5
2021-02-23,9,57,7,20,5,15
2021-02-19,27,53,47,50,32,4
2021-02-16,1,44,66,54,36,10
2021-02-12,25,27,24,5,14,14
2021-02-09,18,21,40,7,31,9
2021-02-05,29,14,17,28,44,2
2021-02-02,67,38,37,40,13,10
2021-01-29,58,59,70,44,4,3
2021-01-26,49,29,67,56,66,24
2021-01-22,42,26,60,50,4,24
2021-01-19,10,19,26,50,28,16
2021-01-15,12,43,11,3,38,15
2021-01-12,28,12,14,26,33,9
2021-01-08,18,3,58,16,6,11
2021-01-05,43,20,51,57,55,4
2021-01-01,24,68,69,53,8,7
2020-12-29,62,31,35,48,1,19
2020-12-25,69,36,70,23,17,19
2020-12-22,67,29,56,53,59,21
2020-12-18,51,15,25,7,60,5
2020-12-15,18,10,46,1,20,15
2020-12-11,31,67,19,37,55,25
2020-12-08,15,68,39,33,19,25
2020-12-04,44,24,50,3,19,8
2020-12-01,33,53,7,65,61,14
2020-11-27,4,35,10,58,27,10
2020-11-24,9,34,61,15,64,6
2020-11-20,26,33,68,45,61,17
2020-11-17,8,13,68,46,35,16
2020-11-13,6,7,28,59,14,7
2020-11-10,53,45,58,62,23,13
2020-11-06,60,18,24,27,34,2
2020-11-03,45,44,7,31,55,19
2020-10-30,19,34,39,14,59,11
2020-10-27,34,13,46,6,62,1
2020-10-23,69,60,34,18,44,22
2020-10-20,46,54,58,57,66,10
2020-10-16,32,27,50,57,52,12
2020-10-13,46,44,45,11,70,25
2020-10-09,11,27,5,25,64,13
2020-10-06,59,18,15,16,39,17
2020-10-02,9,47,68,49,38,25
2020-09-29,44,14,67,39,43,19
2020-09-25,48,20,36,67,37,16
2020-09-22,36,55,43,44,68,12
2020-09-18,26,41,52,29,64,11
2020-09-15,59,28,25,38,62,22
2020-09-11,15,3,48,56,42,13
2020-09-08,15,31,57,10,7,21
2020-09-04,28,22,53,24,19,25
2020-09-01,15,38,25,47,26,22
2020-08-28,9,53,50,3,64,1
2020-08-25,8,57,17,10,15,12
2020-08-21,15,42,31,11,63,14
2020-08-18,27,4,58,18,26,23
2020-08-14,47,3,42,29,24,13
2020-08-11,22,56,43,29,8,9
2020-08-07,44,53,4,70,64,3
2020-08-04,42,30,2,62,22,20
2020-07-31,46,69,48,12,35,23
2020-07-28,27,20,34,17,31,19
2020-07-24,39,33,8,54,58,17
2020-07-21,41,14,25,26,43,15
2020-07-17,13,46,57,21,12,21
2020-07-14,26,55,56,6,64,22
2020-07-10,20,53,10,15,49,22
2020-07-07,30,16,43,20,25,18
2020-07-03,50,44,40,45,20,24
2020-06-30,53,37,29,9,16,11
2020-06-26,19,37,33,56,57,6
2020-06-23,20,48,6,37,40,15
2020-06-19,34,52,36,11,66,7
2020-06-16,21,35,23,42,33,6
2020-06-12,57,70,9,14,67,2
2020-06-09,5,1,9,10,23,22
2020-06-05,35,47,32,37,55,22
2020-06-02,9,23,26,20,29,8
2020-05-29,32,41,13,51,10,3
2020-05-26,58,59,34,52,62,4
2020-05-22,20,44,10,8,46,18
2020-05-19,36,19,8,66,25,9
2020-05-15,33,32,11,46,17,25
2020-05-12,27,52,7,44,16,5
2020-05-08,5,22,61,20,70,4
2020-05-05,7,17,13,21,45,14
2020-05-01,30,28,66,35,31,14
2020-04-28,53,13,63,54,19,17
2020-04-24,27,1,32,60,67,18
2020-04-21,24,15,67,13,70,17
2020-04-17,55,39,35,13,46,14
2020-04-14,29,70,47,69,65,7
2020-04-10,60,57,11,2,21,13
2020-04-07,68,25,33,51,43,20
2020-04-03,44,38,24,57,58,17
2020-03-31,51,70,57,17,8,2
2020-03-27,50,25,60,28,3,1
2020-03-24,31,16,2,8,18,14
2020-03-20,35,41,45,34,54,5
2020-03-17,27,28,58,59,20,25
2020-03-13,44,22,43,37,7,22
2020-03-10,54,17,6,69,48,12
2020-03-06,70,56,15,48,58,4
2020-03-03,12,8,33,56,64,2
2020-02-28,2,64,14,3,41,17
2020-02-25,49,2,43,9,63,15
2020-02-21,7,16,60,4,13,6
2020-02-18,70,61,6,12,39,4
2020-02-14,55,32,48,10,54,18
2020-02-11,32,64,6,4,52,6
2020-02-07,9,14,52,27,36,4
2020-02-04,51,50,64,48,32,10
2020-01-31,28,31,57,33,62,19
2020-01-28,17,47,36,51,62,21
2020-01-24,4,38,3,23,18,24
2020-01-21,29,16,31,37,18,8
2020-01-17,54,70,25,3,30,9
2020-01-14,13,11,47,9,31,11
2020-01-10,66,51,49,17,27,2
2020-01-07,25,56,52,40,41,21
2020-01-03,37,41,53,63,42,16
2019-12-31,49,44,56,53,30,11
2019-12-27,34,64,40,63,17,24
2019-12-24,63,66,37,48,27,11
2019-12-20,35,60,23,20,3,16
2019-12-17,55,56,30,53,22,16
2019-12-13,56,21,39,17,29,22
2019-12-10,61,46,54,18,31,25
2019-12-06,40,31,61,20,46,20
2019-12-03,60,23,43,63,69,19
2019-11-29,6,31,50,65,8,9
2019-11-26,38,29,43,8,27,13
2019-11-22,7,17,12,53,49,24
2019-11-19,47,43,22,44,66,22
2019-11-15,35,19,12,68,34,20
2019-11-12,19,65,56,30,44,24
2019-11-08,10,58,4,39,3,14
2019-11-05,9,24,49,2,54,19
2019-11-01,20,41,54,36,9,22
2019-10-29,9,27,4,39,17,22
2019-10-25,24,52,16,25,60,6
2019-10-22,14,25,23,5,11,10
2019-10-18,67,18,58,65,60,20
2019-10-15,14,4,35,12,70,2
2019-10-11,60,30,22,37,14,8
2019-10-08,10,48,8,5,17,23
2019-10-04,11,70,48,38,44,17
2019-10-01,39,59,42,17,10,3
2019-09-27,43,12,20,45,31,20
2019-09-24,46,6,42,14,24,9
2019-09-20,42,23,48,53,24,22
2019-09-17,50,12,15,30,65,1
2019-09-13,6,62,37,16,59,5
2019-09-10,50,47,48,55,34,24
2019-09-06,4,31,19,11,13,10
2019-09-03,61,13,62,27,20,5
2019-08-30,39,3,11,34,9,10
2019-08-27,8,39,43,12,23,6
2019-08-23,15,68,54,11,37,21
2019-08-20,25,14,51,8,63,4
2019-08-16,46,24,4,26,14,14
2019-08-13,51,7,34,31,27,5
2019-08-09,56,63,59,15,53,1
2019-08-06,43,31,17,55,11,16
2019-08-02,48,20,70,11,26,19
2019-07-30,33,38,10,24,28,6
2019-07-26,48,4,43,6,11,11
2019-07-23,4,23,40,1,45,11
2019-07-19,67,28,18,33,16,14
2019-07-16,8,16,31,48,52,23
2019-07-12,38,38,56,56,59,8
2019-07-09,12,48,64,26,40,1
2019-07-05,57,47,6,38,63,12
2019-07-02,25,37,40,55,3,13
2019-06-28,2,53,49,63,35,1
2019-06-25,24,61,47,45,33,17
2019-06-21,48,30,13,62,36,18
