
Ranked Millionaire for Life ticket candidates
------------------------------------------------------------------------------------------------------------
Rank  Type          Ticket                              Score         Model         Overdue       
81    balanced      05 19 31 32 52                      0.36263481    0.22989449    0.37784431    
82    balanced      05 08 31 32 54                      0.36262955    0.23820727    0.37065868    
83    balanced      05 08 31 32 49                      0.36193690    0.23669477    0.41796407    
84    balanced      01 29 31 32 50                      0.36178648    0.28628865    0.13652695    
85    balanced      01 05 31 32 50                      0.36175480    0.26977667    0.29940120    
86    balanced      08 27 31 32 50                      0.36169826    0.27413541    0.23233533    
87    balanced      05 24 31 32 49                      0.36158722    0.23613843    0.38802395    
88    balanced      01 19 31 32 40                      0.36158276    0.26659173    0.23233533    
89    balanced      01 05 31 32 38                      0.36156415    0.26946729    0.33772455    
90    balanced      05 08 31 32 45                      0.36149528    0.23872857    0.41017964    
91    balanced      01 05 32 51 52                      0.36147455    0.20001860    0.41437126    
92    balanced      07 27 31 32 56                      0.36146774    0.27589935    0.23233533    
93    balanced      06 27 31 32 56                      0.36145573    0.27795705    0.20239521    
94    balanced      02 26 31 32 51                      0.36135069    0.22003134    0.31257485    
95    balanced      05 26 27 32 51                      0.36112615    0.18489161    0.46586826    
96    balanced      01 29 31 32 56                      0.36111477    0.28939176    0.14491018    
97    balanced      01 19 31 32 38                      0.36096926    0.27164680    0.18922156    
98    balanced      05 24 31 32 54                      0.36094654    0.23765092    0.34071856    
99    balanced      01 26 31 32 49                      0.36086684    0.29159594    0.18083832    
100   balanced      05 08 32 51 54                      0.36085108    0.15974545    0.45628743    
------------------------------------------------------------------------------------------------------------
Detected game range: main 1-58, 5 main numbers, no extra number modeled
Reminder: this ranks historical-pattern candidates; lottery results are random.
